Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Hall_of_Fame,Active,Url,Path
Dave Johnson,1993,1994,G-F,6-7,210.0,"November 16, 1970",Syracuse,False,False,https://www.basketball-reference.com/players/j/johnsda01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsda01.html
David Johnson,2022,2022,G,6-5,210.0,"February 26, 2001",Louisville,False,True,https://www.basketball-reference.com/players/j/johnsda08.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsda08.html
DeMarco Johnson,2000,2000,F,6-9,245.0,"October 6, 1975",UNC Charlotte,False,False,https://www.basketball-reference.com/players/j/johnsde02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsde02.html
Dennis Johnson,1977,1990,G,6-4,185.0,"September 18, 1954",Pepperdine,True,False,https://www.basketball-reference.com/players/j/johnsde01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsde01.html
DerMarr Johnson,2001,2008,F,6-9,201.0,"May 5, 1980",Cincinnati,False,False,https://www.basketball-reference.com/players/j/johnsde03.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsde03.html
Ed Johnson,1969,1971,C,6-8,205.0,"June 17, 1944",Tennessee State,False,False,https://www.basketball-reference.com/players/j/johnsed01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsed01.html
Eddie Johnson,1978,1987,G,6-2,180.0,"February 24, 1955",Auburn,False,False,https://www.basketball-reference.com/players/j/johnsed02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsed02.html
Eddie Johnson,1982,1999,F-G,6-7,215.0,"May 1, 1959",Illinois,False,False,https://www.basketball-reference.com/players/j/johnsed03.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsed03.html
Eric Johnson,1990,1990,G,6-2,205.0,"February 7, 1966","Baylor, Nebraska",False,False,https://www.basketball-reference.com/players/j/johnser01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnser01.html
Ervin Johnson,1994,2006,C,6-11,245.0,"December 21, 1967",New Orleans,False,False,https://www.basketball-reference.com/players/j/johnser02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnser02.html
Frank Johnson,1982,1994,G,6-1,185.0,"November 23, 1958",Wake Forest,False,False,https://www.basketball-reference.com/players/j/johnsfr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsfr01.html
George Johnson,1971,1974,C,6-11,245.0,"June 19, 1947",Stephen F. Austin,False,False,https://www.basketball-reference.com/players/j/johnsge01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsge01.html
George Johnson,1973,1986,C-F,6-11,205.0,"December 18, 1948",Dillard University,False,False,https://www.basketball-reference.com/players/j/johnsge02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsge02.html
George Johnson,1979,1986,F-C,6-7,210.0,"December 8, 1956",St. John's,False,False,https://www.basketball-reference.com/players/j/johnsge03.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsge03.html
Gus Johnson,1964,1973,F-C,6-6,230.0,"December 13, 1938","Boise State, Idaho",True,False,https://www.basketball-reference.com/players/j/johnsgu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsgu01.html
Harold Johnson,1947,1947,C,6-6,240.0,"January 30, 1920",Indiana State University,False,False,https://www.basketball-reference.com/players/j/johnsha01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsha01.html
Ivan Johnson,2012,2013,F,6-8,230.0,"April 10, 1984","Oregon, Cal State San Bernardino",False,False,https://www.basketball-reference.com/players/j/johnsiv01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsiv01.html
JaJuan Johnson,2012,2012,F,6-10,221.0,"February 8, 1989",Purdue,False,False,https://www.basketball-reference.com/players/j/johnsja02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsja02.html
Jalen Johnson,2022,2024,F,6-9,220.0,"December 18, 2001",Duke,False,True,https://www.basketball-reference.com/players/j/johnsja05.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsja05.html
James Johnson,2010,2024,F,6-7,240.0,"February 20, 1987",Wake Forest,False,True,https://www.basketball-reference.com/players/j/johnsja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsja01.html
Joe Johnson,2002,2022,G-F,6-7,240.0,"June 29, 1981",Arkansas,False,False,https://www.basketball-reference.com/players/j/johnsjo02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsjo02.html
John Johnson,1971,1982,F,6-7,200.0,"October 18, 1947",Iowa,False,False,https://www.basketball-reference.com/players/j/johnsjo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsjo01.html
Kannard Johnson,1988,1988,F,6-9,220.0,"June 24, 1965",Western Kentucky,False,False,https://www.basketball-reference.com/players/j/johnska01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnska01.html
Keldon Johnson,2020,2024,G,6-5,220.0,"October 11, 1999",Kentucky,False,True,https://www.basketball-reference.com/players/j/johnske04.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnske04.html
Ken Johnson,1986,1986,F,6-8,240.0,"November 7, 1962","USC, Michigan State",False,False,https://www.basketball-reference.com/players/j/johnske01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnske01.html
Ken Johnson,2003,2003,F-C,6-11,240.0,"February 1, 1978",Ohio State,False,False,https://www.basketball-reference.com/players/j/johnske03.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnske03.html
Keon Johnson,2022,2024,G,6-5,186.0,"March 10, 2002",Tennessee,False,True,https://www.basketball-reference.com/players/j/johnske07.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnske07.html
Kevin Johnson,1988,2000,G,6-1,180.0,"March 4, 1966",California,False,False,https://www.basketball-reference.com/players/j/johnske02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnske02.html
Keyontae Johnson,2024,2024,F,6-5,230.0,"May 24, 2000","Florida, Kansas State",False,True,https://www.basketball-reference.com/players/j/johnske08.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnske08.html
Larry Johnson,1978,1978,G,6-3,205.0,"November 28, 1954",Kentucky,False,False,https://www.basketball-reference.com/players/j/johnsla01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsla01.html
Larry Johnson,1992,2001,F,6-7,250.0,"March 14, 1969","Odessa College, UNLV",False,False,https://www.basketball-reference.com/players/j/johnsla02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsla02.html
Lee Johnson,1981,1981,F,6-11,205.0,"June 16, 1957","Montana, Texas A&M University-Commerce",False,False,https://www.basketball-reference.com/players/j/johnsle01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsle01.html
Linton Johnson,2004,2009,F,6-8,205.0,"June 13, 1980",Tulane,False,False,https://www.basketball-reference.com/players/j/johnsli01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsli01.html
Magic Johnson,1980,1996,G-F,6-9,215.0,"August 14, 1959",Michigan State,True,False,https://www.basketball-reference.com/players/j/johnsma02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsma02.html
Marques Johnson,1978,1990,F-G,6-7,218.0,"February 8, 1956",UCLA,False,False,https://www.basketball-reference.com/players/j/johnsma01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsma01.html
Mickey Johnson,1975,1986,F,6-10,190.0,"August 31, 1952",Aurora University,False,False,https://www.basketball-reference.com/players/j/johnsmi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsmi01.html
Neil Johnson,1967,1973,F-C,6-7,220.0,"April 17, 1943","Tulsa, Creighton",False,False,https://www.basketball-reference.com/players/j/johnsne02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsne02.html
Nick Johnson,2015,2015,G,6-3,202.0,"December 22, 1992",Arizona,False,False,https://www.basketball-reference.com/players/j/johnsni01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsni01.html
Ollie Johnson,1973,1982,F,6-6,200.0,"May 11, 1949",Temple,False,False,https://www.basketball-reference.com/players/j/johnsol01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsol01.html
Omari Johnson,2018,2018,F,6-9,220.0,"November 26, 1989",Oregon State,False,False,https://www.basketball-reference.com/players/j/johnsom01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsom01.html
Orlando Johnson,2013,2016,G,6-5,220.0,"March 11, 1989","Loyola Marymount, UC Santa Barbara",False,False,https://www.basketball-reference.com/players/j/johnsor01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsor01.html
Ralph Johnson,1950,1953,G,5-11,170.0,"December 6, 1921",Huntington University,False,False,https://www.basketball-reference.com/players/j/johnsra01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsra01.html
Reggie Johnson,1981,1984,F-C,6-9,205.0,"June 25, 1957",Tennessee,False,False,https://www.basketball-reference.com/players/j/johnsre01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsre01.html
Rich Johnson,1969,1971,C,6-7,210.0,"December 18, 1946",Grambling State University,False,False,https://www.basketball-reference.com/players/j/johnsri01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsri01.html
Ron Johnson,1961,1961,F,6-8,215.0,"July 20, 1938",Minnesota,False,False,https://www.basketball-reference.com/players/j/johnsro01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsro01.html
Stanley Johnson,2016,2023,F,6-6,242.0,"May 29, 1996",Arizona,False,True,https://www.basketball-reference.com/players/j/johnsst04.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsst04.html
Steffond Johnson,1987,1987,F,6-8,240.0,"November 4, 1962","LSU, San Diego State",False,False,https://www.basketball-reference.com/players/j/johnsst02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsst02.html
Steve Johnson,1982,1991,C-F,6-10,235.0,"November 3, 1957",Oregon State,False,False,https://www.basketball-reference.com/players/j/johnsst03.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsst03.html
Stew Johnson,1968,1976,F-C,6-8,220.0,"August 19, 1944",Murray State,False,False,https://www.basketball-reference.com/players/j/johnsst01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsst01.html
Trey Johnson,2009,2012,G,6-5,218.0,"August 30, 1984","Alcorn State, Jackson State University",False,False,https://www.basketball-reference.com/players/j/johnstr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnstr01.html
Tyler Johnson,2015,2022,G,6-3,186.0,"May 7, 1992",Fresno State,False,False,https://www.basketball-reference.com/players/j/johnsty01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsty01.html
Vinnie Johnson,1980,1992,G,6-2,200.0,"September 1, 1956",Baylor,False,False,https://www.basketball-reference.com/players/j/johnsvi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsvi01.html
Wesley Johnson,2011,2019,F-G,6-7,215.0,"July 11, 1987","Iowa State, Syracuse",False,False,https://www.basketball-reference.com/players/j/johnswe01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnswe01.html
Darius Johnson-Odom,2013,2014,G,6-2,215.0,"September 28, 1989",Marquette,False,False,https://www.basketball-reference.com/players/j/johnsda03.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsda03.html
Nate Johnston,1990,1990,F,6-8,210.0,"December 18, 1966",University of Tampa,False,False,https://www.basketball-reference.com/players/j/johnsna01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsna01.html
Neil Johnston,1952,1959,C,6-8,210.0,"February 4, 1929",Ohio State,True,False,https://www.basketball-reference.com/players/j/johnsne01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsne01.html
Jim Johnstone,1983,1983,C-F,6-11,245.0,"September 20, 1960",Wake Forest,False,False,https://www.basketball-reference.com/players/j/johnsji01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsji01.html
Nikola Jokić,2016,2024,C-F,6-11,284.0,"February 19, 1995",,False,True,https://www.basketball-reference.com/players/j/jokicni01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jokicni01.html
Howie Jolliff,1961,1963,F-C,6-7,218.0,"July 20, 1938",Ohio University,False,False,https://www.basketball-reference.com/players/j/jolifho01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jolifho01.html
Alvin Jones,2002,2002,C,6-11,265.0,"September 9, 1978",Georgia Tech,False,False,https://www.basketball-reference.com/players/j/jonesal01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jonesal01.html
Anthony Jones,1987,1990,G-F,6-6,195.0,"September 13, 1962","Georgetown, UNLV",False,False,https://www.basketball-reference.com/players/j/jonesan01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jonesan01.html
Askia Jones,1995,1995,G,6-5,200.0,"December 3, 1971",Kansas State,False,False,https://www.basketball-reference.com/players/j/jonesas01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jonesas01.html
Bill Jones,1989,1989,F,6-7,175.0,"March 18, 1966",Iowa,False,False,https://www.basketball-reference.com/players/j/jonesbi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jonesbi01.html
Bobby Jones,1975,1986,F,6-9,210.0,"December 18, 1951",UNC,True,False,https://www.basketball-reference.com/players/j/jonesbo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jonesbo01.html
Bobby Jones,2007,2008,F,6-7,215.0,"January 9, 1984",Washington,False,False,https://www.basketball-reference.com/players/j/jonesbo02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jonesbo02.html
Caldwell Jones,1974,1990,C-F,6-11,217.0,"August 4, 1950",Albany State University,False,False,https://www.basketball-reference.com/players/j/jonesca01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jonesca01.html
Carlik Jones,2022,2023,G,6-1,185.0,"December 23, 1997","Radford, Louisville",False,True,https://www.basketball-reference.com/players/j/jonesca03.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jonesca03.html
Charles Jones,1984,1998,F-C,6-9,215.0,"April 3, 1957",Albany State University,False,False,https://www.basketball-reference.com/players/j/jonesch01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jonesch01.html
Charles Jones,1985,1989,F,6-8,215.0,"January 12, 1962",Louisville,False,False,https://www.basketball-reference.com/players/j/jonesch02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jonesch02.html
Charles Jones,1999,2000,G,6-3,180.0,"July 17, 1975","Rutgers University, Long Island University",False,False,https://www.basketball-reference.com/players/j/jonesch03.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jonesch03.html
